,port_from,lat_from,lon_from,kg
0,Amsterdam,52.3727598,4.8936041,2321.102
1,Colberg,54.1769143,15.575963855136287,112.5
2,Danzig,54.36119285,18.62860883362069,424873.2128
3,Gottenborg,60.90282825,11.806039272147798,5.0
4,Hamborg,53.550341,10.000654,495.00306666666665
5,Hull,53.7435722,-0.3394758,4976.5
6,Klaipėda,55.7127529,21.1350469,135.0
7,Konigsberg,54.710128,20.5105838,3367.304
8,Livorno,42.79021905,10.340281392353766,1872.8891999999998
9,London,51.5073219,-0.1276474,188.41566666666665
10,Malmøe,55.6052931,13.0001566,9.0
11,Pillau,54.6437214,19.8941584,127.0
12,Rouan,49.4404591,1.0939658,55.0
13,Rugenwalde,54.42914965,16.403846355275693,200.0
14,Sneek,53.033548,5.6611029,853.7386666666666
15,Stettin,53.42968095,14.592912670292268,996.576
16,Triest,45.6496485,13.7772781,1013.8146666666665
